full_address,latitude,longitude,geocode_source,match_score,match_type,matched_address,geocoded_at
"1001 PHILADELPHIA AVE, OCEAN CITY, MD 21842",38.341227966422,-75.082520348053,census,100,Exact,"1001 PHILADELPHIA AVE, OCEAN CITY, MD, 21842",2026-05-14T21:44:03.798883+00:00
"103 BATA BLVD A, BELCAMP, MD 21017",39.469585404649,-76.236015070276,census,50,Non_Exact,"103 BATA BLVD, BELCAMP, MD, 21017",2026-05-14T21:44:03.798883+00:00
"10320 LITTLE PATUXENT PKWY, COLUMBIA, MD 21044",39.214609335214,-76.857775238258,census,100,Exact,"10320 LITTLE PATUXENT PKWY, COLUMBIA, MD, 21044",2026-05-14T21:44:03.798883+00:00
"10344 OLD OCEAN CITY BLVD, BERLIN, MD 21811",38.337948593162,-75.205839889652,census,100,Exact,"10344 OLD OCEAN CITY BLVD, BERLIN, MD, 21811",2026-05-14T21:44:03.798883+00:00
"1035 OCEAN HWY, POCOMOKE CITY, MD 21851",38.033945833718,-75.541932086086,census,100,Exact,"1035 OCEAN HWY, POCOMOKE CITY, MD, 21851",2026-05-14T21:44:03.798883+00:00
"10711 RED RUN BLVD, OWINGS MILLS, MD 21117",39.415284062403,-76.799550123142,census,100,Exact,"10711 RED RUN BLVD, OWINGS MILLS, MD, 21117",2026-05-14T21:44:03.798883+00:00
"110 BAUGHMANS LN, FREDERICK, MD 21702",39.418489587876,-77.437582353513,census,100,Exact,"110 BAUGHMANS LN, FREDERICK, MD, 21702",2026-05-14T21:44:03.798883+00:00
"110 N PHILADELPHIA BLVD, ABERDEEN, MD 21001",39.5118614227,-76.162243407828,census,100,Exact,"110 N PHILADELPHIA BLVD, ABERDEEN, MD, 21001",2026-05-14T21:44:03.798883+00:00
"1124 OPAL CT, HAGERSTOWN, MD 21740",39.635773337357,-77.69512816956,census,100,Exact,"1124 OPAL CT, HAGERSTOWN, MD, 21740",2026-05-14T21:44:03.798883+00:00
"193 STONER AVE, WESTMINSTER, MD 21157",39.560415345129,-76.9890344342,census,100,Exact,"193 STONER AVE, WESTMINSTER, MD, 21157",2026-05-14T21:44:03.798883+00:00
"1147 S HANOVER ST, BALTIMORE, MD 21230",39.276208510506,-76.615427096371,census,100,Exact,"1147 S HANOVER ST, BALTIMORE, MD, 21230",2026-05-14T21:44:03.798883+00:00
"2 TAFT CT, ROCKVILLE, MD 20850",39.094347594076,-77.132136209121,census,100,Exact,"2 TAFT CT, ROCKVILLE, MD, 20850",2026-05-14T21:44:03.798883+00:00
"20030 CENTURY BLVD, GERMANTOWN, MD 20874",39.184334799898,-77.260932716777,census,100,Exact,"20030 CENTURY BLVD, GERMANTOWN, MD, 20874",2026-05-14T21:44:03.798883+00:00
"210 WASHINGTON HEIGHTS MED CTR, WESTMINSTER, MD 21157",39.56292382475,-76.987938688519,census,50,Non_Exact,"210 WASHINGTON HEIGHTS CENTER, WESTMINSTER, MD, 21157",2026-05-14T21:44:03.798883+00:00
"21044 FREDERICK RD, GERMANTOWN, MD 20876",39.203288894761,-77.245928699597,census,100,Exact,"21044 FREDERICK RD, GERMANTOWN, MD, 20876",2026-05-14T21:44:03.798883+00:00
"2120 EMMORTON PARK RD, EDGEWOOD, MD 21040",39.452690772455,-76.309788120342,census,50,Non_Exact,"2120 EMMORTON PARK DR, EDGEWOOD, MD, 21040",2026-05-14T21:44:03.798883+00:00
"220 W COLD SPRING LN, BALTIMORE, MD 21210",39.344977799747,-76.627867516233,census,100,Exact,"220 W COLD SPRING LN, BALTIMORE, MD, 21210",2026-05-14T21:44:03.798883+00:00
"2206 WASHINGTON AVE, SILVER SPRING, MD 20910",38.993217493501,-77.047001810927,census,100,Exact,"2206 WASHINGTON AVE, SILVER SPRING, MD, 20910",2026-05-14T21:44:03.798883+00:00
"22326 EXPLORATION DR, LEXINGTON PARK, MD 20653",38.280572895312,-76.469095069191,census,100,Exact,"22326 EXPLORATION DR, LEXINGTON PARK, MD, 20653",2026-05-14T21:44:03.798883+00:00
"229 W MAIN ST, SALISBURY, MD 21801",38.365317096506,-75.602862237272,census,100,Exact,"229 W MAIN ST, SALISBURY, MD, 21801",2026-05-14T21:44:03.798883+00:00
"2401 BRANDERMILL BLVD, GAMBRILLS, MD 21054",39.035375314469,-76.68155889687,census,100,Exact,"2401 BRANDERMILL BLVD, GAMBRILLS, MD, 21054",2026-05-14T21:44:03.798883+00:00
"2520 WILLOW GLEN DR, BALTIMORE, MD 21209",39.372106043346,-76.683499419965,census,100,Exact,"2520 WILLOW GLEN DR, BALTIMORE, MD, 21209",2026-05-14T21:44:03.798883+00:00
"25500 POINT LOOKOUT RD, LEONARDTOWN, MD 20650",38.297562901603,-76.636313687925,census,100,Exact,"25500 POINT LOOKOUT RD, LEONARDTOWN, MD, 20650",2026-05-14T21:44:03.798883+00:00
"28103 THREE NOTCH RD, MECHANICSVILLE, MD 20659",38.439692079186,-76.73441132176,census,100,Exact,"28103 THREE NOTCH RD, MECHANICSVILLE, MD, 20659",2026-05-14T21:44:03.798883+00:00
"300 DORCHESTER AVE, CAMBRIDGE, MD 21613",38.566840047284,-76.066733612152,census,100,Exact,"300 DORCHESTER AVE, CAMBRIDGE, MD, 21613",2026-05-14T21:44:03.798883+00:00
"300 S CHURCH ST, MIDDLETOWN, MD 21769",39.441073145232,-77.545342460305,census,100,Exact,"300 S CHURCH ST, MIDDLETOWN, MD, 21769",2026-05-14T21:44:03.798883+00:00
"3125 BALTIMORE BLVD, FINKSBURG, MD 21048",39.491068680091,-76.884308946426,census,100,Exact,"3125 BALTIMORE BLVD, FINKSBURG, MD, 21048",2026-05-14T21:44:03.798883+00:00
"313 HOSPITAL DR, GLEN BURNIE, MD 21061",39.139507482562,-76.62460811233,census,100,Exact,"313 HOSPITAL DR, GLEN BURNIE, MD, 21061",2026-05-14T21:44:03.798883+00:00
